FLD_ZONE,LUCODE,popul_by_1,risk_group,Flow_Rate,Precipitation
A,153,6809,high,6610,2.19
A,353,6809,high,6610,2.19
A,93,6809,high,6610,2.19
A,173,6809,high,6610,2.19
A,333,6809,high,6610,2.19
A,113,6809,high,6610,2.19
A,33,6809,high,6610,2.19
A,293,6809,high,6610,2.19
AE,351,4130,high,6610,2.19
AE,151,4130,high,6610,2.19
AE,51,4130,high,6610,2.19
AE,71,4130,high,6610,2.19
AE,291,4130,high,6610,2.19
AE,131,4130,high,6610,2.19
AE,171,4130,high,6610,2.19
AE,11,4130,high,6610,2.19
AE,191,4130,high,6610,2.19
AE,271,4130,high,6610,2.19
AE,251,4130,high,6610,2.19
AE,331,4130,high,6610,2.19
AE,111,4130,high,6610,2.19
AE,231,4130,high,6610,2.19
AE,311,4130,high,6610,2.19
AE,211,4130,high,6610,2.19
AE,31,4130,high,6610,2.19
AE,91,4130,high,6610,2.19
AH,74,4303,high,6610,2.19
AH,14,4303,high,6610,2.19
AH,114,4303,high,6610,2.19
AH,174,4303,high,6610,2.19
AH,354,4303,high,6610,2.19
AH,54,4303,high,6610,2.19
AH,234,4303,high,6610,2.19
AH,134,4303,high,6610,2.19
AH,254,4303,high,6610,2.19
AH,334,4303,high,6610,2.19
AH,94,4303,high,6610,2.19
AH,194,4303,high,6610,2.19
AH,294,4303,high,6610,2.19
AH,214,4303,high,6610,2.19
AH,34,4303,high,6610,2.19
AH,274,4303,high,6610,2.19
AH,314,4303,high,6610,2.19
AH,154,4303,high,6610,2.19
AE,87,2790,high,6610,2.19
AE,227,2790,high,6610,2.19
AE,327,2790,high,6610,2.19
AE,67,2790,high,6610,2.19
AE,307,2790,high,6610,2.19
AE,347,2790,high,6610,2.19
AE,127,2790,high,6610,2.19
AE,147,2790,high,6610,2.19
AE,27,2790,high,6610,2.19
AE,7,2790,high,6610,2.19
AE,247,2790,high,6610,2.19
AE,207,2790,high,6610,2.19
AE,107,2790,high,6610,2.19
AE,167,2790,high,6610,2.19
AE,47,2790,high,6610,2.19
AE,287,2790,high,6610,2.19
AE,187,2790,high,6610,2.19
AE,267,2790,high,6610,2.19
AE,295,3573,high,6610,2.19
AE,75,3573,high,6610,2.19
AE,15,3573,high,6610,2.19
AE,315,3573,high,6610,2.19
AE,355,3573,high,6610,2.19
AE,275,3573,high,6610,2.19
AE,115,3573,high,6610,2.19
AE,55,3573,high,6610,2.19
AE,255,3573,high,6610,2.19
AE,335,3573,high,6610,2.19
AE,235,3573,high,6610,2.19
AE,175,3573,high,6610,2.19
AE,135,3573,high,6610,2.19
AE,215,3573,high,6610,2.19
AE,35,3573,high,6610,2.19
AE,95,3573,high,6610,2.19
AE,195,3573,high,6610,2.19
AE,155,3573,high,6610,2.19
X,134,4303,low,6610,2.19
X,14,4303,low,6610,2.19
X,214,4303,low,6610,2.19
X,74,4303,low,6610,2.19
X,34,4303,low,6610,2.19
X,194,4303,low,6610,2.19
X,354,4303,low,6610,2.19
X,54,4303,low,6610,2.19
X,294,4303,low,6610,2.19
X,274,4303,low,6610,2.19
X,314,4303,low,6610,2.19
X,94,4303,low,6610,2.19
X,114,4303,low,6610,2.19
X,334,4303,low,6610,2.19
X,254,4303,low,6610,2.19
X,234,4303,low,6610,2.19
X,154,4303,low,6610,2.19
X,174,4303,low,6610,2.19
AH,112,6839,high,6610,2.19
AH,212,6839,high,6610,2.19
AH,152,6839,high,6610,2.19
AH,272,6839,high,6610,2.19
AH,52,6839,high,6610,2.19
AH,72,6839,high,6610,2.19
AH,332,6839,high,6610,2.19
AH,352,6839,high,6610,2.19
AH,312,6839,high,6610,2.19
AH,12,6839,high,6610,2.19
AH,92,6839,high,6610,2.19
AH,252,6839,high,6610,2.19
AH,292,6839,high,6610,2.19
AH,132,6839,high,6610,2.19
AH,192,6839,high,6610,2.19
AH,172,6839,high,6610,2.19
AH,32,6839,high,6610,2.19
AH,232,6839,high,6610,2.19
AO,313,6809,high,6610,2.19
AO,73,6809,high,6610,2.19
AO,93,6809,high,6610,2.19
AO,273,6809,high,6610,2.19
AO,113,6809,high,6610,2.19
AO,33,6809,high,6610,2.19
AO,293,6809,high,6610,2.19
AO,213,6809,high,6610,2.19
AO,153,6809,high,6610,2.19
AO,13,6809,high,6610,2.19
AO,333,6809,high,6610,2.19
AO,253,6809,high,6610,2.19
AO,173,6809,high,6610,2.19
AO,53,6809,high,6610,2.19
AO,133,6809,high,6610,2.19
AO,353,6809,high,6610,2.19
AO,233,6809,high,6610,2.19
AO,193,6809,high,6610,2.19
X,197,6541,moderate,8970,2.43
X,237,6541,moderate,8970,2.43
X,177,6541,moderate,8970,2.43
X,157,6541,moderate,8970,2.43
X,337,6541,moderate,8970,2.43
X,257,6541,moderate,8970,2.43
X,137,6541,moderate,8970,2.43
X,17,6541,moderate,8970,2.43
X,117,6541,moderate,8970,2.43
X,297,6541,moderate,8970,2.43
X,277,6541,moderate,8970,2.43
X,37,6541,moderate,8970,2.43
X,77,6541,moderate,8970,2.43
X,57,6541,moderate,8970,2.43
X,357,6541,moderate,8970,2.43
X,97,6541,moderate,8970,2.43
X,217,6541,moderate,8970,2.43
X,317,6541,moderate,8970,2.43
X,353,6809,moderate,6610,2.19
X,253,6809,moderate,6610,2.19
X,53,6809,moderate,6610,2.19
X,73,6809,moderate,6610,2.19
X,273,6809,moderate,6610,2.19
X,133,6809,moderate,6610,2.19
X,233,6809,moderate,6610,2.19
X,13,6809,moderate,6610,2.19
X,293,6809,moderate,6610,2.19
X,153,6809,moderate,6610,2.19
X,173,6809,moderate,6610,2.19
X,113,6809,moderate,6610,2.19
X,333,6809,moderate,6610,2.19
X,213,6809,moderate,6610,2.19
X,313,6809,moderate,6610,2.19
X,33,6809,moderate,6610,2.19
X,193,6809,moderate,6610,2.19
X,93,6809,moderate,6610,2.19
AH,231,4130,high,6610,2.19
AH,111,4130,high,6610,2.19
AH,11,4130,high,6610,2.19
AH,151,4130,high,6610,2.19
AH,331,4130,high,6610,2.19
AH,351,4130,high,6610,2.19
AH,31,4130,high,6610,2.19
AH,131,4130,high,6610,2.19
AH,71,4130,high,6610,2.19
AH,211,4130,high,6610,2.19
AH,91,4130,high,6610,2.19
AH,251,4130,high,6610,2.19
AH,191,4130,high,6610,2.19
AH,171,4130,high,6610,2.19
AH,311,4130,high,6610,2.19
AH,291,4130,high,6610,2.19
AH,51,4130,high,6610,2.19
AH,271,4130,high,6610,2.19
X,274,4303,moderate,6610,2.19
X,334,4303,moderate,6610,2.19
X,14,4303,moderate,6610,2.19
X,154,4303,moderate,6610,2.19
X,134,4303,moderate,6610,2.19
X,294,4303,moderate,6610,2.19
X,254,4303,moderate,6610,2.19
X,34,4303,moderate,6610,2.19
X,354,4303,moderate,6610,2.19
X,234,4303,moderate,6610,2.19
X,174,4303,moderate,6610,2.19
X,194,4303,moderate,6610,2.19
X,54,4303,moderate,6610,2.19
X,74,4303,moderate,6610,2.19
X,214,4303,moderate,6610,2.19
X,314,4303,moderate,6610,2.19
X,94,4303,moderate,6610,2.19
X,114,4303,moderate,6610,2.19
X,195,3573,moderate,6610,2.19
X,255,3573,moderate,6610,2.19
X,335,3573,moderate,6610,2.19
X,95,3573,moderate,6610,2.19
X,315,3573,moderate,6610,2.19
X,35,3573,moderate,6610,2.19
X,75,3573,moderate,6610,2.19
X,355,3573,moderate,6610,2.19
X,15,3573,moderate,6610,2.19
X,115,3573,moderate,6610,2.19
X,155,3573,moderate,6610,2.19
X,275,3573,moderate,6610,2.19
X,175,3573,moderate,6610,2.19
X,235,3573,moderate,6610,2.19
X,215,3573,moderate,6610,2.19
X,295,3573,moderate,6610,2.19
X,55,3573,moderate,6610,2.19
X,135,3573,moderate,6610,2.19
D,276,3510,unknown,8970,2.43
D,236,3510,unknown,8970,2.43
D,356,3510,unknown,8970,2.43
D,316,3510,unknown,8970,2.43
D,176,3510,unknown,8970,2.43
D,136,3510,unknown,8970,2.43
D,296,3510,unknown,8970,2.43
D,156,3510,unknown,8970,2.43
D,96,3510,unknown,8970,2.43
D,16,3510,unknown,8970,2.43
D,216,3510,unknown,8970,2.43
D,196,3510,unknown,8970,2.43
D,36,3510,unknown,8970,2.43
D,116,3510,unknown,8970,2.43
D,336,3510,unknown,8970,2.43
D,76,3510,unknown,8970,2.43
D,56,3510,unknown,8970,2.43
D,256,3510,unknown,8970,2.43
X,296,3510,moderate,8970,2.43
X,96,3510,moderate,8970,2.43
X,336,3510,moderate,8970,2.43
X,116,3510,moderate,8970,2.43
X,56,3510,moderate,8970,2.43
X,356,3510,moderate,8970,2.43
X,16,3510,moderate,8970,2.43
X,36,3510,moderate,8970,2.43
X,136,3510,moderate,8970,2.43
X,236,3510,moderate,8970,2.43
X,176,3510,moderate,8970,2.43
X,196,3510,moderate,8970,2.43
X,256,3510,moderate,8970,2.43
X,276,3510,moderate,8970,2.43
X,76,3510,moderate,8970,2.43
X,216,3510,moderate,8970,2.43
X,316,3510,moderate,8970,2.43
X,156,3510,moderate,8970,2.43
AH,246,9017,high,6610,2.19
AH,206,9017,high,6610,2.19
AH,226,9017,high,6610,2.19
AH,126,9017,high,6610,2.19
AH,6,9017,high,6610,2.19
AH,26,9017,high,6610,2.19
AH,86,9017,high,6610,2.19
AH,106,9017,high,6610,2.19
AH,286,9017,high,6610,2.19
AH,46,9017,high,6610,2.19
AH,146,9017,high,6610,2.19
AH,326,9017,high,6610,2.19
AH,166,9017,high,6610,2.19
AH,306,9017,high,6610,2.19
AH,346,9017,high,6610,2.19
AH,66,9017,high,6610,2.19
AH,266,9017,high,6610,2.19
AH,186,9017,high,6610,2.19
AO,281,1968,high,6610,2.19
AO,261,1968,high,6610,2.19
AO,301,1968,high,6610,2.19
AO,201,1968,high,6610,2.19
AO,181,1968,high,6610,2.19
AO,141,1968,high,6610,2.19
AO,61,1968,high,6610,2.19
AO,41,1968,high,6610,2.19
AO,101,1968,high,6610,2.19
AO,21,1968,high,6610,2.19
AO,1,1968,high,6610,2.19
AO,121,1968,high,6610,2.19
AO,341,1968,high,6610,2.19
AO,241,1968,high,6610,2.19
AO,81,1968,high,6610,2.19
AO,221,1968,high,6610,2.19
AO,161,1968,high,6610,2.19
AO,321,1968,high,6610,2.19
AH,358,5195,high,6610,2.19
AH,258,5195,high,6610,2.19
AH,218,5195,high,6610,2.19
AH,98,5195,high,6610,2.19
AH,78,5195,high,6610,2.19
AH,118,5195,high,6610,2.19
AH,278,5195,high,6610,2.19
AH,38,5195,high,6610,2.19
AH,158,5195,high,6610,2.19
AH,298,5195,high,6610,2.19
AH,338,5195,high,6610,2.19
AH,238,5195,high,6610,2.19
AH,18,5195,high,6610,2.19
AH,178,5195,high,6610,2.19
AH,318,5195,high,6610,2.19
AH,138,5195,high,6610,2.19
AH,198,5195,high,6610,2.19
AH,58,5195,high,6610,2.19
AH,224,5270,high,6610,2.19
AH,64,5270,high,6610,2.19
AH,344,5270,high,6610,2.19
AH,124,5270,high,6610,2.19
AH,144,5270,high,6610,2.19
AH,24,5270,high,6610,2.19
AH,264,5270,high,6610,2.19
AH,284,5270,high,6610,2.19
AH,304,5270,high,6610,2.19
AH,44,5270,high,6610,2.19
AH,184,5270,high,6610,2.19
AH,104,5270,high,6610,2.19
AH,204,5270,high,6610,2.19
AH,164,5270,high,6610,2.19
AH,84,5270,high,6610,2.19
AH,4,5270,high,6610,2.19
AH,244,5270,high,6610,2.19
AH,324,5270,high,6610,2.19
A,10,4883,high,6610,2.19
A,310,4883,high,6610,2.19
A,70,4883,high,6610,2.19
A,150,4883,high,6610,2.19
A,350,4883,high,6610,2.19
A,170,4883,high,6610,2.19
A,190,4883,high,6610,2.19
A,30,4883,high,6610,2.19
A,50,4883,high,6610,2.19
A,90,4883,high,6610,2.19
A,290,4883,high,6610,2.19
A,330,4883,high,6610,2.19
A,250,4883,high,6610,2.19
A,230,4883,high,6610,2.19
A,210,4883,high,6610,2.19
A,110,4883,high,6610,2.19
A,130,4883,high,6610,2.19
A,270,4883,high,6610,2.19
X,101,1968,moderate,6610,2.19
X,181,1968,moderate,6610,2.19
X,141,1968,moderate,6610,2.19
X,281,1968,moderate,6610,2.19
X,341,1968,moderate,6610,2.19
X,61,1968,moderate,6610,2.19
X,261,1968,moderate,6610,2.19
X,241,1968,moderate,6610,2.19
X,1,1968,moderate,6610,2.19
X,41,1968,moderate,6610,2.19
X,221,1968,moderate,6610,2.19
X,81,1968,moderate,6610,2.19
X,21,1968,moderate,6610,2.19
X,321,1968,moderate,6610,2.19
X,161,1968,moderate,6610,2.19
X,121,1968,moderate,6610,2.19
X,301,1968,moderate,6610,2.19
X,201,1968,moderate,6610,2.19
AH,108,5604,high,6610,2.19
AH,168,5604,high,6610,2.19
AH,348,5604,high,6610,2.19
AH,268,5604,high,6610,2.19
AH,328,5604,high,6610,2.19
AH,28,5604,high,6610,2.19
AH,208,5604,high,6610,2.19
AH,228,5604,high,6610,2.19
AH,68,5604,high,6610,2.19
AH,188,5604,high,6610,2.19
AH,288,5604,high,6610,2.19
AH,148,5604,high,6610,2.19
AH,308,5604,high,6610,2.19
AH,48,5604,high,6610,2.19
AH,88,5604,high,6610,2.19
AH,8,5604,high,6610,2.19
AH,248,5604,high,6610,2.19
AH,128,5604,high,6610,2.19
AH,42,3789,high,6610,2.19
AH,142,3789,high,6610,2.19
AH,222,3789,high,6610,2.19
AH,302,3789,high,6610,2.19
AH,122,3789,high,6610,2.19
AH,262,3789,high,6610,2.19
AH,2,3789,high,6610,2.19
AH,62,3789,high,6610,2.19
AH,202,3789,high,6610,2.19
AH,22,3789,high,6610,2.19
AH,342,3789,high,6610,2.19
AH,282,3789,high,6610,2.19
AH,322,3789,high,6610,2.19
AH,242,3789,high,6610,2.19
AH,162,3789,high,6610,2.19
AH,82,3789,high,6610,2.19
AH,182,3789,high,6610,2.19
AH,102,3789,high,6610,2.19
AH,29,3322,high,6610,2.19
AH,349,3322,high,6610,2.19
AH,49,3322,high,6610,2.19
AH,329,3322,high,6610,2.19
AH,269,3322,high,6610,2.19
AH,69,3322,high,6610,2.19
AH,209,3322,high,6610,2.19
AH,309,3322,high,6610,2.19
AH,229,3322,high,6610,2.19
AH,289,3322,high,6610,2.19
AH,89,3322,high,6610,2.19
AH,129,3322,high,6610,2.19
AH,149,3322,high,6610,2.19
AH,9,3322,high,6610,2.19
AH,249,3322,high,6610,2.19
AH,189,3322,high,6610,2.19
AH,109,3322,high,6610,2.19
AH,169,3322,high,6610,2.19
A,322,3789,high,6610,2.19
A,202,3789,high,6610,2.19
A,302,3789,high,6610,2.19
A,82,3789,high,6610,2.19
A,142,3789,high,6610,2.19
A,282,3789,high,6610,2.19
A,162,3789,high,6610,2.19
A,342,3789,high,6610,2.19
A,222,3789,high,6610,2.19
A,2,3789,high,6610,2.19
A,182,3789,high,6610,2.19
A,262,3789,high,6610,2.19
A,62,3789,high,6610,2.19
A,42,3789,high,6610,2.19
A,242,3789,high,6610,2.19
A,22,3789,high,6610,2.19
A,122,3789,high,6610,2.19
A,102,3789,high,6610,2.19
AH,187,2790,high,6610,2.19
AH,287,2790,high,6610,2.19
AH,27,2790,high,6610,2.19
AH,247,2790,high,6610,2.19
AH,167,2790,high,6610,2.19
AH,267,2790,high,6610,2.19
AH,127,2790,high,6610,2.19
AH,327,2790,high,6610,2.19
AH,47,2790,high,6610,2.19
AH,227,2790,high,6610,2.19
AH,307,2790,high,6610,2.19
AH,87,2790,high,6610,2.19
AH,347,2790,high,6610,2.19
AH,67,2790,high,6610,2.19
AH,7,2790,high,6610,2.19
AH,107,2790,high,6610,2.19
AH,147,2790,high,6610,2.19
AH,207,2790,high,6610,2.19
AO,205,3068,high,6610,2.19
AO,185,3068,high,6610,2.19
AO,165,3068,high,6610,2.19
AO,325,3068,high,6610,2.19
AO,145,3068,high,6610,2.19
AO,65,3068,high,6610,2.19
AO,85,3068,high,6610,2.19
AO,245,3068,high,6610,2.19
AO,305,3068,high,6610,2.19
AO,225,3068,high,6610,2.19
AO,5,3068,high,6610,2.19
AO,285,3068,high,6610,2.19
AO,265,3068,high,6610,2.19
AO,45,3068,high,6610,2.19
AO,345,3068,high,6610,2.19
AO,25,3068,high,6610,2.19
AO,125,3068,high,6610,2.19
AO,105,3068,high,6610,2.19
X,244,5270,moderate,6610,2.19
X,304,5270,moderate,6610,2.19
X,144,5270,moderate,6610,2.19
X,124,5270,moderate,6610,2.19
X,44,5270,moderate,6610,2.19
X,264,5270,moderate,6610,2.19
X,224,5270,moderate,6610,2.19
X,84,5270,moderate,6610,2.19
X,184,5270,moderate,6610,2.19
X,324,5270,moderate,6610,2.19
X,64,5270,moderate,6610,2.19
X,344,5270,moderate,6610,2.19
X,204,5270,moderate,6610,2.19
X,4,5270,moderate,6610,2.19
X,24,5270,moderate,6610,2.19
X,164,5270,moderate,6610,2.19
X,284,5270,moderate,6610,2.19
X,104,5270,moderate,6610,2.19
X,65,3068,moderate,6610,2.19
X,245,3068,moderate,6610,2.19
X,85,3068,moderate,6610,2.19
X,105,3068,moderate,6610,2.19
X,345,3068,moderate,6610,2.19
X,225,3068,moderate,6610,2.19
X,45,3068,moderate,6610,2.19
X,5,3068,moderate,6610,2.19
X,165,3068,moderate,6610,2.19
X,125,3068,moderate,6610,2.19
X,325,3068,moderate,6610,2.19
X,285,3068,moderate,6610,2.19
X,185,3068,moderate,6610,2.19
X,265,3068,moderate,6610,2.19
X,25,3068,moderate,6610,2.19
X,305,3068,moderate,6610,2.19
X,145,3068,moderate,6610,2.19
X,205,3068,moderate,6610,2.19
AH,161,1968,high,6610,2.19
AH,341,1968,high,6610,2.19
AH,321,1968,high,6610,2.19
AH,1,1968,high,6610,2.19
AH,241,1968,high,6610,2.19
AH,281,1968,high,6610,2.19
AH,121,1968,high,6610,2.19
AH,101,1968,high,6610,2.19
AH,41,1968,high,6610,2.19
AH,201,1968,high,6610,2.19
AH,141,1968,high,6610,2.19
AH,21,1968,high,6610,2.19
AH,61,1968,high,6610,2.19
AH,221,1968,high,6610,2.19
AH,301,1968,high,6610,2.19
AH,181,1968,high,6610,2.19
AH,81,1968,high,6610,2.19
AH,261,1968,high,6610,2.19
AH,260,2699,high,6610,2.19
AH,340,2699,high,6610,2.19
AH,220,2699,high,6610,2.19
AH,160,2699,high,6610,2.19
AH,120,2699,high,6610,2.19
AH,200,2699,high,6610,2.19
AH,140,2699,high,6610,2.19
AH,0,2699,high,6610,2.19
AH,80,2699,high,6610,2.19
AH,320,2699,high,6610,2.19
AH,40,2699,high,6610,2.19
AH,180,2699,high,6610,2.19
AH,100,2699,high,6610,2.19
AH,240,2699,high,6610,2.19
AH,300,2699,high,6610,2.19
AH,20,2699,high,6610,2.19
AH,60,2699,high,6610,2.19
AH,280,2699,high,6610,2.19
AO,263,4391,high,6610,2.19
AO,3,4391,high,6610,2.19
AO,283,4391,high,6610,2.19
AO,163,4391,high,6610,2.19
AO,203,4391,high,6610,2.19
AO,83,4391,high,6610,2.19
AO,43,4391,high,6610,2.19
AO,63,4391,high,6610,2.19
AO,323,4391,high,6610,2.19
AO,303,4391,high,6610,2.19
AO,143,4391,high,6610,2.19
AO,243,4391,high,6610,2.19
AO,223,4391,high,6610,2.19
AO,123,4391,high,6610,2.19
AO,343,4391,high,6610,2.19
AO,183,4391,high,6610,2.19
AO,103,4391,high,6610,2.19
AO,23,4391,high,6610,2.19
A,121,1968,high,6610,2.19
A,301,1968,high,6610,2.19
A,321,1968,high,6610,2.19
A,61,1968,high,6610,2.19
A,261,1968,high,6610,2.19
A,201,1968,high,6610,2.19
A,21,1968,high,6610,2.19
A,341,1968,high,6610,2.19
A,41,1968,high,6610,2.19
A,241,1968,high,6610,2.19
A,161,1968,high,6610,2.19
A,181,1968,high,6610,2.19
A,281,1968,high,6610,2.19
A,221,1968,high,6610,2.19
A,101,1968,high,6610,2.19
A,81,1968,high,6610,2.19
A,141,1968,high,6610,2.19
A,1,1968,high,6610,2.19
AH,213,6809,high,6610,2.19
AH,333,6809,high,6610,2.19
AH,293,6809,high,6610,2.19
AH,93,6809,high,6610,2.19
AH,153,6809,high,6610,2.19
AH,313,6809,high,6610,2.19
AH,53,6809,high,6610,2.19
AH,193,6809,high,6610,2.19
AH,33,6809,high,6610,2.19
AH,233,6809,high,6610,2.19
AH,173,6809,high,6610,2.19
AH,13,6809,high,6610,2.19
AH,353,6809,high,6610,2.19
AH,253,6809,high,6610,2.19
AH,273,6809,high,6610,2.19
AH,133,6809,high,6610,2.19
AH,113,6809,high,6610,2.19
AH,73,6809,high,6610,2.19
